id,char,freq
0, ,5579761
1,.,640929
2,그,509176
3,이,506676
4,는,374558
5,가,369680
6,고,356345
7,어,313511
8,아,309384
9,거,306736
10,지,276316
11,데,249242
12,?,235002
13,나,229579
14,하,225367
15,다,221216
16,서,211169
17,에,203775
18,도,190566
19,게,177144
20,니,173194
21,",",152940
22,기,149406
23,은,144661
24,면,142032
25,야,137216
26,있,133140
27,을,121044
28,한,120025
29,까,119444
30,해,115137
31,리,111879
32,라,111464
33,래,105761
34,사,100522
35,근,99782
36,들,99465
37,안,97024
38,로,91846
39,일,88332
40,내,85957
41,보,82916
42,제,80085
43,같,79636
44,자,76280
45,만,76095
46,시,72830
47,런,70924
48,너,69190
49,대,68753
50,때,67170
51,되,66261
52,으,65481
53,뭐,62865
54,진,62827
55,를,61801
56,잖,61462
57,러,60628
58,오,60230
59,인,60216
60,무,58691
61,었,58364
62,구,57295
63,했,57207
64,수,56787
65,간,55180
66,애,54482
67,우,53383
68,요,53220
69,생,52800
70,마,52628
71,렇,50793
72,냥,49679
73,짜,49562
74,주,48979
75,없,48387
76,말,47923
77,학,46281
78,스,46207
79,더,44481
80,많,43619
81,원,41382
82,정,39768
83,겠,39687
84,먹,39194
85,여,39189
86,금,38690
87,든,38477
88,부,38406
89,할,38262
90,막,37212
91,전,36585
92,번,36380
93,좋,36364
94,랑,36078
95,네,35420
96,람,33798
97,약,33403
98,건,33375
99,각,32158
100,음,31734
101,좀,31597
102,알,30900
103,잘,30119
104,걸,29632
105,모,29500
106,것,28488
107,상,28252
108,려,28232
109,장,27850
110,히,27666
111,않,27313
112,맞,27206
113,던,27064
114,르,26288
115,교,26110
116,바,25987
117,드,25690
118,냐,25679
119,십,25648
120,날,25547
121,치,25288
122,비,25274
123,단,25134
124,동,25038
125,또,24682
126,못,24526
127,얘,23987
128,중,23861
129,저,23844
130,의,23609
131,난,23313
132,엄,23021
133,봤,22923
134,걔,22721
135,화,22580
136,싶,21753
137,갔,21623
138,았,21055
139,집,20846
140,왜,20775
141,계,20754
142,공,20610
143,긴,20548
144,신,20375
145,적,20238
146,연,20221
147,직,20050
148,실,19460
149,영,19450
150,미,19449
151,응,19379
152,봐,18932
153,분,18894
154,테,18834
155,년,18663
156,트,18636
157,문,18230
158,돼,18026
159,물,17892
160,예,17836
161,세,17724
162,터,17722
163,럼,17525
164,청,17476
165,차,17453
166,개,17357
167,친,17353
168,삼,17245
169,국,17220
170,두,17139
171,소,17124
172,와,17055
173,살,16896
174,재,16632
175,운,15950
176,쫌,15639
177,유,15432
178,속,15256
179,명,15193
180,랬,15157
181,본,15146
182,갈,15090
183,방,15068
184,돈,15007
185,타,14920
186,처,14906
187,빠,14856
188,과,14848
189,식,14739
190,디,14637
191,배,14399
192,피,14092
193,뭔,14074
194,선,13929
195,남,13906
196,경,13873
197,달,13790
198,언,13570
199,받,13528
200,심,13417
201,월,13365
202,버,13337
203,왔,13263
204,느,13229
205,점,12963
206,올,12918
207,업,12855
208,른,12802
209,성,12704
210,회,12598
211,조,12568
212,워,12418
213,따,12414
214,행,12345
215,반,12153
216,님,11992
217,딱,11904
218,관,11828
219,입,11276
220,카,11221
221,당,11068
222,였,10974
223,케,10565
224,쪽,10431
225,천,10387
226,작,10380
227,누,10336
228,열,10250
229,얼,10246
230,울,10240
231,찮,10230
232,된,10183
233,별,10158
234,떻,10105
235,위,9846
236,쓰,9846
237,크,9831
238,머,9823
239,노,9795
240,괜,9733
241,강,9701
242,편,9664
243,몰,9626
244,맛,9378
245,준,9339
246,줄,9295
247,파,9283
248,백,9250
249,매,9192
250,산,9158
251,술,9146
252,힘,9061
253,프,9019
254,즘,8994
255,임,8976
256,체,8887
257,형,8795
258,몇,8743
259,맨,8712
260,새,8623
261,용,8560
262,키,8545
263,통,8416
264,끝,8363
265,양,8360
266,싸,8331
267,볼,8181
268,혼,8179
269,온,8130
270,등,8120
271,길,8067
272,될,8031
273,밌,7995
274,육,7929
275,늘,7920
276,슨,7840
277,됐,7738
278,놀,7704
279,팔,7603
280,외,7601
281,져,7553
282,레,7490
283,억,7461
284,발,7445
285,결,7411
286,초,7292
287,감,7181
288,군,7177
289,호,7168
290,름,7148
291,솔,7073
292,닌,7053
293,밖,7010
294,불,7008
295,밥,6786
296,포,6674
297,싫,6629
298,완,6579
299,갖,6508
300,겨,6473
301,질,6452
302,토,6447
303,험,6418
304,색,6370
305,역,6341
306,떤,6340
307,티,6316
308,갑,6316
309,목,6266
310,린,6258
311,추,6205
312,격,6172
313,확,6089
314,루,6084
315,후,6078
316,민,6027
317,끼,6021
318,칠,6015
319,돌,6002
320,찍,5952
321,쪼,5942
322,필,5782
323,깐,5782
324,빨,5693
325,났,5658
326,락,5559
327,박,5536
328,끔,5480
329,낌,5407
330,럴,5397
331,취,5335
332,복,5314
333,둘,5263
334,페,5222
335,써,5199
336,렸,5198
337,줘,5165
338,급,5068
339,력,5063
340,잡,5032
341,씩,5004
342,찾,4993
343,놓,4983
344,코,4894
345,최,4891
346,넘,4875
347,졌,4801
348,섯,4798
349,브,4791
350,현,4761
351,눈,4756
352,항,4752
353,귀,4708
354,설,4690
355,벌,4667
356,담,4645
357,앞,4639
358,책,4635
359,절,4632
360,플,4523
361,폰,4508
362,태,4493
363,종,4485
364,옛,4450
365,증,4411
366,튼,4410
367,글,4401
368,병,4378
369,습,4376
370,론,4373
371,출,4363
372,능,4352
373,침,4347
374,순,4337
375,줬,4312
376,평,4303
377,메,4285
378,똑,4281
379,커,4260
380,엔,4249
381,꾸,4230
382,란,4190
383,듣,4086
384,큰,4001
385,표,3997
386,먼,3945
387,잠,3942
388,씨,3931
389,쁘,3841
390,활,3819
391,합,3787
392,접,3732
393,럽,3721
394,옷,3705
395,쳐,3689
396,손,3687
397,붙,3647
398,망,3639
399,죽,3609
400,투,3605
401,족,3604
402,셨,3586
403,떨,3569
404,참,3531
405,웃,3527
406,졸,3515
407,쉬,3484
408,뭘,3431
409,변,3407
410,릴,3372
411,웠,3295
412,즈,3269
413,홍,3266
414,랐,3245
415,독,3242
416,충,3239
417,짝,3216
418,떡,3195
419,뒤,3194
420,셔,3143
421,넣,3136
422,휴,3079
423,쨌,3078
424,악,3070
425,패,3052
426,빼,3040
427,슬,2982
428,특,2974
429,꺼,2968
430,숙,2948
431,쯤,2934
432,텐,2906
433,창,2903
434,겼,2889
435,굴,2865
436,판,2863
437,죠,2853
438,답,2822
439,희,2815
440,옆,2798
441,닐,2791
442,료,2789
443,택,2770
444,림,2763
445,읽,2743
446,핸,2735
447,축,2731
448,풀,2717
449,틀,2713
450,몸,2697
451,허,2690
452,골,2686
453,황,2637
454,켜,2637
455,익,2622
456,베,2605
457,북,2604
458,법,2579
459,늦,2577
460,함,2568
461,랜,2556
462,꼬,2554
463,향,2547
464,석,2543
465,환,2533
466,슷,2530
467,품,2522
468,혀,2511
469,블,2508
470,쓸,2505
471,채,2472
472,며,2467
473,욕,2464
474,권,2450
