id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,3634887
4,그,350377
5,이,320844
6,는,235898
7,가,232728
8,아,232360
9,고,224554
10,어,210094
11,거,193347
12,지,173998
13,데,156930
14,?,148302
15,나,144653
16,하,142652
17,다,139479
18,서,132951
19,에,128620
20,도,119782
21,게,111706
22,니,108733
23,기,94319
24,은,91421
25,면,89440
26,야,86213
27,있,83798
28,한,76383
29,을,76127
30,까,75166
31,해,72269
32,리,70204
33,라,70078
34,래,66609
35,사,63316
36,근,62726
37,들,62688
38,안,61271
39,로,57806
40,일,55884
41,뭐,54988
42,내,54304
43,보,52016
44,제,51081
45,같,50127
46,만,48274
47,자,48041
48,시,45598
49,런,44597
50,너,43522
51,대,43228
52,때,42272
53,으,41835
54,되,41672
55,진,39464
56,를,38889
57,잖,38582
58,오,38533
59,러,37951
60,인,37786
61,막,37734
62,었,36917
63,무,36914
64,구,36257
65,했,36231
66,수,35764
67,간,34621
68,애,34251
69,우,33665
70,마,33397
71,요,33310
72,생,33249
73,렇,32011
74,냥,31496
75,짜,31050
76,주,30882
77,없,30482
78,말,30134
79,스,29145
80,학,29056
81,더,27732
82,많,27333
83,음,26282
84,원,25994
85,정,25004
86,겠,24989
87,여,24725
88,먹,24512
89,든,24277
90,할,24199
91,금,24177
92,부,24122
93,랑,22972
94,전,22925
95,좋,22905
96,번,22900
97,네,22387
98,람,21249
99,건,21010
100,약,20924
101,각,20291
102,좀,20041
103,알,19249
104,잘,18939
105,걸,18889
106,모,18651
107,것,18027
108,상,17763
109,려,17748
110,장,17555
111,히,17487
112,않,17205
113,맞,17133
114,던,17071
115,르,16585
116,교,16396
117,십,16350
118,바,16245
119,드,16229
120,냐,16171
121,날,16067
122,비,16019
123,단,15962
124,치,15905
125,동,15761
126,또,15540
127,못,15359
128,얘,15230
129,저,14989
130,중,14896
131,의,14836
132,난,14680
133,엄,14511
134,봤,14393
135,걔,14360
136,화,14211
137,응,14080
138,싶,13774
139,갔,13641
140,았,13274
141,집,13165
142,계,13078
143,왜,12984
144,신,12962
145,공,12957
146,긴,12843
147,연,12779
148,적,12770
149,직,12681
150,실,12291
151,미,12156
152,영,12118
153,봐,11914
154,테,11905
155,년,11800
156,분,11785
157,트,11573
158,문,11558
159,물,11446
160,와,11403
161,예,11318
162,돼,11242
163,터,11238
164,세,11115
165,청,11015
166,럼,10999
167,삼,10987
168,개,10985
169,차,10973
170,친,10963
171,국,10805
172,두,10758
173,소,10724
174,살,10557
175,재,10549
176,운,10057
177,쫌,9934
178,유,9785
179,속,9601
180,명,9587
181,본,9571
182,랬,9549
183,방,9497
184,갈,9488
185,처,9460
186,타,9386
187,돈,9386
188,빠,9334
189,식,9329
190,과,9278
191,배,9129
192,디,9109
193,뭔,8878
194,피,8791
195,선,8775
196,남,8770
197,달,8764
198,경,8566
199,언,8547
200,느,8437
201,버,8392
202,받,8386
203,왔,8364
204,월,8326
205,심,8307
206,점,8120
207,업,8076
208,른,8027
209,올,7998
210,성,7965
211,조,7928
212,회,7889
213,워,7863
214,행,7825
215,따,7747
216,반,7598
217,님,7582
218,딱,7548
219,관,7482
220,입,7132
221,카,7031
222,당,6983
223,였,6924
224,쪽,6632
225,누,6591
226,케,6578
227,천,6529
228,울,6522
229,작,6520
230,열,6442
231,된,6421
232,별,6411
233,얼,6407
234,찮,6348
235,떻,6322
236,머,6220
237,크,6187
238,쓰,6171
239,위,6143
240,노,6107
241,몰,6106
242,괜,6038
243,편,6028
244,강,6028
245,준,5885
246,맛,5883
247,매,5835
248,산,5832
249,술,5805
250,줄,5799
251,파,5791
252,백,5784
253,힘,5648
254,프,5631
255,형,5622
256,임,5596
257,체,5587
258,즘,5561
259,몇,5530
260,새,5457
261,맨,5454
262,용,5400
263,키,5391
264,통,5307
265,양,5287
266,볼,5274
267,싸,5261
268,혼,5218
269,끝,5213
270,등,5133
271,온,5108
272,밌,5107
273,길,5103
274,될,5026
275,늘,4998
276,슨,4953
277,육,4929
278,됐,4848
279,놀,4803
280,팔,4793
281,억,4735
282,외,4724
283,결,4720
284,레,4709
285,져,4684
286,발,4619
287,초,4574
288,군,4565
289,솔,4547
290,름,4547
291,감,4524
292,호,4494
293,밖,4459
294,닌,4425
295,불,4362
296,싫,4260
297,밥,4249
298,포,4207
299,완,4113
300,겨,4112
301,갖,4078
302,질,4063
303,험,4050
304,색,4049
305,티,4035
306,토,4029
307,목,4019
308,떤,4002
309,역,3966
310,갑,3964
311,린,3919
312,격,3893
313,끼,3852
314,추,3850
315,후,3822
316,루,3808
317,확,3806
318,칠,3766
319,찍,3757
320,민,3754
321,돌,3701
322,쪼,3700
323,깐,3675
324,필,3673
