id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,5685162
4,.,641655
5,그,556344
6,이,490033
7,는,374572
8,아,369768
9,가,369698
10,고,356368
11,어,333843
12,거,306987
13,지,276344
14,데,249270
15,?,235027
16,나,229592
17,하,226118
18,다,220306
19,서,211071
20,에,203672
21,도,190572
22,게,177140
23,니,173280
24,기,149471
25,은,144675
26,면,142025
27,야,137552
28,있,133155
29,을,121047
30,까,119483
31,한,119343
32,해,115147
33,리,111626
34,라,111477
35,래,105782
36,근,99781
37,들,99446
38,안,97043
39,사,93372
40,로,91349
41,뭐,87328
42,내,85967
43,보,82910
44,제,80807
45,같,79626
46,자,76297
47,만,75512
48,일,73563
49,시,72690
50,런,70919
51,너,69186
52,대,68744
53,때,67179
54,되,66237
55,으,66106
56,진,62826
57,를,61811
58,잖,61455
59,러,60624
60,인,60512
61,막,59994
62,무,58511
63,었,58385
64,했,57209
65,수,56788
66,간,55270
67,애,54476
68,구,54052
69,우,53539
70,요,53234
71,마,53099
72,생,52810
73,오,51662
74,렇,50798
75,냥,49989
76,짜,49581
77,주,48983
78,없,48392
79,말,47929
80,학,46284
81,스,45218
82,더,44486
83,많,43607
84,음,41348
85,원,41255
86,정,39776
87,겠,39691
88,먹,39194
89,금,38720
90,든,38475
91,부,38399
92,할,38262
93,여,37448
94,전,36575
95,번,36375
96,좋,36363
97,랑,36082
98,네,34223
99,람,33782
100,약,33412
101,건,33370
102,각,32166
103,좀,31737
104,알,30840
105,1,30565
106,잘,30132
107,걸,29634
108,모,29629
109,것,28482
110,상,28247
111,려,28218
112,장,27855
113,히,27705
114,0,27670
115,않,27305
116,맞,27202
117,던,27082
118,르,26286
119,교,26116
120,바,25994
121,냐,25742
122,드,25702
123,날,25556
124,치,25218
125,단,25129
126,동,25047
127,비,25025
128,또,24719
129,못,24528
130,저,24074
131,얘,23990
132,중,23851
133,의,23652
134,난,23317
135,엄,23057
136,봤,22930
137,걔,22732
138,화,22603
139,2,22292
140,응,22254
141,싶,21756
142,갔,21628
143,았,21052
144,집,20850
145,왜,20801
146,계,20757
147,긴,20536
148,공,20305
149,신,20300
150,적,20244
151,연,20225
152,직,20061
153,실,19466
154,미,19364
155,영,19104
156,봐,18931
157,분,18889
158,테,18827
159,년,18669
160,트,18489
161,문,18230
162,와,18103
163,돼,18028
164,예,17860
165,터,17658
166,럼,17521
167,청,17479
168,차,17459
169,물,17458
170,개,17404
171,친,17348
172,국,17224
173,소,17124
174,살,16893
175,재,16630
176,운,15949
177,세,15884
178,쫌,15780
179,속,15255
180,유,15231
181,명,15188
182,3,15159
183,랬,15155
184,본,15148
185,갈,15084
186,방,15068
187,돈,14987
188,타,14919
189,처,14908
190,빠,14850
191,과,14843
192,식,14709
193,두,14419
194,배,14403
195,디,14393
196,뭔,14093
197,선,13929
198,남,13909
199,피,13898
200,경,13868
201,달,13787
202,언,13578
203,받,13519
204,심,13401
205,월,13364
206,버,13339
207,왔,13265
208,느,13223
209,올,12922
210,업,12861
211,성,12717
212,른,12692
213,회,12597
214,조,12573
215,워,12424
216,따,12410
217,점,12372
218,행,12350
219,반,12158
220,님,11998
221,딱,11908
222,관,11828
223,입,11275
224,카,11235
225,당,11068
226,였,10977
227,케,10477
228,쪽,10430
229,작,10381
230,누,10336
231,얼,10249
232,울,10245
233,찮,10231
234,된,10191
235,별,10159
236,떻,10108
237,5,10039
238,머,9876
239,위,9851
240,크,9838
241,노,9799
242,괜,9735
243,강,9698
244,편,9668
245,쓰,9661
246,몰,9623
247,맛,9382
248,준,9329
249,줄,9294
250,파,9232
251,매,9184
252,산,9147
253,술,9142
254,힘,9056
255,즘,8996
256,임,8965
257,체,8888
258,형,8790
259,몇,8742
260,맨,8708
261,프,8674
262,4,8666
263,새,8623
264,용,8571
265,통,8410
266,양,8363
267,끝,8361
268,싸,8328
269,키,8317
270,볼,8183
271,혼,8178
272,등,8123
273,온,8112
274,길,8066
275,될,8033
276,천,8017
277,열,8001
278,밌,7998
279,늘,7909
280,슨,7834
281,됐,7738
282,놀,7707
283,외,7608
284,져,7551
285,레,7484
286,억,7461
287,발,7450
288,결,7412
289,초,7291
290,감,7180
291,호,7174
292,군,7165
293,름,7146
294,솔,7079
295,닌,7051
296,밖,7013
297,불,7007
298,밥,6784
299,싫,6631
300,완,6582
301,포,6547
302,갖,6511
303,겨,6468
304,질,6453
305,토,6448
306,험,6417
307,색,6371
308,떤,6352
309,역,6340
310,갑,6316
311,목,6262
312,린,6249
313,추,6204
314,격,6174
315,후,6118
316,티,6105
317,확,6095
318,루,6079
319,민,6024
320,끼,6023
321,돌,5997
322,찍,5956
323,쪼,5945
324,깐,5788
325,필,5783
