id,grpm,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3,|,5774244
4,ᅡ,3560117
5,ᄋ,3329997
6,ᄀ,2776207
7,ᅵ,2171847
8,ᆫ,2099990
9,ᅳ,2005508
10,ᅥ,1933125
11,ᅩ,1322658
12,ᄂ,1267792
13,ᄃ,1256854
14,ᄌ,1088700
15,ᆯ,990624
16,ᄅ,940940
17,ᄉ,920582
18,ᅦ,899879
19,ᄆ,891270
20,ᄒ,802845
21,ᅢ,797078
22,.,640923
23,ᅮ,613109
24,ᆼ,601838
25,ᆨ,523735
26,ᅧ,475473
27,ᄇ,473425
28,ᆻ,467303
29,ᆷ,415188
30,ᅣ,263813
31,?,235024
32,ᄎ,213755
33,ᄁ,194941
34,ᅯ,194464
35,ᄄ,165687
36,ᅪ,153572
37,ᆭ,144828
38,ᆸ,143910
39,ᄐ,141767
40,ᅬ,117111
41,ᄍ,114604
42,ᄑ,113442
43,ᆺ,110034
44,ᇂ,107712
45,ᅭ,104403
46,ᇀ,95003
47,ᄏ,82797
48,ᅫ,58525
49,ᄊ,52923
50,ᆹ,49619
51,ᅤ,48322
52,ᅨ,45861
53,ᆽ,44775
54,ᄈ,43872
55,ᅲ,40767
56,ᅱ,36498
57,ᇁ,33446
58,ᅴ,27363
59,ᆮ,24670
60,ᆩ,10787
61,ᆾ,10627
62,ᆶ,8431
63,ᆰ,5339
64,ᆲ,3841
65,ᅰ,2907
66,C,2704
67,ᆱ,2658
68,T,2248
69,ᆬ,1971
70,S,1844
71,P,1620
72,V,1159
73,A,1156
74,M,1087
75,B,1057
76,G,940
77,D,843
78,!,841
79,O,757
80,N,748
81,R,740
82,I,735
83,K,654
84,L,626
85,E,527
86,F,496
87,J,372
88,X,366
89,U,315
90,Y,231
91,H,197
92,ᆿ,114
93,ᆴ,87
94,W,80
95,ᆪ,63
96,Q,55
97,2,27
98,1,22
99,3,13
100,ᆵ,12
101,Z,11
102,4,8
103,0,6
104,8,5
105,5,5
106,6,2
107,7,1
