id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,5774244
4,.,640923
5,그,556372
6,이,509291
7,는,374559
8,아,370443
9,가,369698
10,고,356378
11,어,333842
12,거,306987
13,지,276453
14,데,249269
15,?,235024
16,나,229646
17,하,226136
18,다,221216
19,서,211193
20,에,204330
21,도,190561
22,게,177140
23,니,173284
24,기,149467
25,은,144674
26,면,142025
27,야,137552
28,있,133155
29,한,121564
30,을,121048
31,까,119483
32,해,115148
33,리,111854
34,라,111479
35,래,105784
36,사,100533
37,근,99781
38,들,99447
39,안,97043
40,로,91850
41,일,88319
42,뭐,87328
43,내,85968
44,보,82911
45,제,80874
46,같,79626
47,자,76298
48,만,76093
49,시,72836
50,런,70919
51,너,69192
52,대,68756
53,때,67179
54,되,66237
55,으,66106
56,진,62831
57,를,61802
58,잖,61455
59,오,60782
60,러,60629
61,인,60234
62,막,59994
63,무,58705
64,었,58385
65,구,57294
66,했,57209
67,수,56787
68,간,55275
69,애,54476
70,우,53539
71,요,53234
72,마,53125
73,생,52815
74,렇,50798
75,냥,49989
76,짜,49581
77,주,48969
78,없,48392
79,말,47929
80,학,46285
81,스,46225
82,더,44487
83,많,43607
84,원,41379
85,음,41348
86,정,39775
87,겠,39691
88,여,39203
89,먹,39194
90,금,38720
91,든,38476
92,부,38398
93,할,38262
94,전,36575
95,번,36375
96,좋,36363
97,랑,36081
98,네,35514
99,람,33799
100,약,33412
101,건,33370
102,각,32167
103,좀,31738
104,알,30893
105,잘,30132
106,걸,29634
107,모,29629
108,것,28482
109,상,28247
110,려,28218
111,장,27856
112,히,27705
113,않,27305
114,맞,27202
115,던,27082
116,르,26286
117,교,26116
118,바,25994
119,냐,25742
120,드,25702
121,십,25654
122,날,25556
123,치,25287
124,비,25278
125,단,25129
126,동,25047
127,또,24719
128,못,24528
129,저,24074
130,얘,23990
131,중,23851
132,의,23607
133,난,23318
134,엄,23057
135,봤,22930
136,걔,22732
137,화,22593
138,응,22254
139,싶,21756
140,갔,21628
141,았,21052
142,집,20850
143,왜,20801
144,계,20757
145,공,20620
146,긴,20547
147,신,20371
148,적,20244
149,연,20225
150,직,20061
151,실,19467
152,영,19454
153,미,19444
154,봐,18931
155,분,18893
156,테,18829
157,년,18669
158,트,18651
159,문,18230
160,와,18114
161,돼,18028
162,물,17889
163,예,17864
164,터,17722
165,세,17719
166,럼,17521
167,청,17479
168,차,17455
169,친,17355
170,개,17355
171,삼,17242
172,국,17224
173,두,17129
174,소,17124
175,살,16893
176,재,16635
177,운,15949
178,쫌,15780
179,유,15516
180,속,15255
181,명,15190
182,랬,15155
183,본,15148
184,갈,15084
185,방,15069
186,돈,14998
187,타,14919
188,처,14908
189,빠,14851
190,과,14843
191,식,14743
192,디,14633
193,배,14403
194,피,14093
195,뭔,14093
196,선,13929
197,남,13909
198,경,13868
199,달,13787
200,언,13579
201,받,13519
202,심,13409
203,월,13367
204,버,13339
205,왔,13265
206,느,13223
207,점,12960
208,올,12923
209,업,12861
210,른,12801
211,성,12717
212,회,12591
213,조,12570
214,워,12424
215,따,12410
216,행,12350
217,반,12158
218,님,11998
219,딱,11908
220,관,11828
221,입,11275
222,카,11235
223,당,11068
224,였,10977
225,케,10576
226,쪽,10430
227,천,10384
228,작,10381
229,누,10336
230,열,10252
231,얼,10250
232,울,10246
233,찮,10231
234,된,10191
235,별,10159
236,떻,10108
237,머,9876
238,쓰,9853
239,위,9841
240,크,9838
241,노,9799
242,괜,9735
243,강,9698
244,편,9668
245,몰,9623
246,맛,9382
247,준,9342
248,줄,9294
249,파,9282
250,백,9252
251,매,9181
252,산,9160
253,술,9142
254,힘,9056
255,프,9022
256,즘,8997
257,임,8969
258,체,8888
259,형,8790
260,몇,8742
261,맨,8712
262,새,8623
263,용,8571
264,키,8547
265,통,8410
266,양,8363
267,끝,8361
268,싸,8328
269,볼,8188
270,혼,8179
271,온,8132
272,등,8123
273,길,8067
274,될,8033
275,밌,7998
276,육,7924
277,늘,7909
278,슨,7835
279,됐,7738
280,놀,7707
281,외,7608
282,팔,7601
283,져,7551
284,레,7485
285,억,7461
286,발,7450
287,결,7412
288,초,7290
289,감,7180
290,군,7174
291,호,7173
292,름,7146
293,솔,7079
294,닌,7051
295,밖,7013
296,불,7007
297,밥,6784
298,포,6676
299,싫,6631
300,완,6582
301,갖,6511
302,겨,6468
303,질,6453
304,토,6448
305,험,6417
306,색,6371
307,떤,6352
308,역,6340
309,티,6319
310,갑,6316
311,목,6262
312,린,6256
313,추,6204
314,격,6174
315,후,6119
316,확,6095
317,루,6079
318,민,6024
319,끼,6023
320,칠,6019
321,돌,5997
322,찍,5956
323,쪼,5946
324,깐,5788
325,필,5786
